coin,status,z_score,mean_price,std_price,batch_id
bitcoin,normal,-0.3106,65080.1739,48.8566,86
cardano,ANOMALIE,3.5655,0.2684,0.0005,86
ethereum,normal,-0.0491,1903.7283,2.4079,86
solana,normal,1.0721,80.9828,0.0813,86
binancecoin,normal,0.2642,603.6989,0.3826,87
bitcoin,normal,-0.3069,65079.8511,48.3837,87
cardano,ANOMALIE,3.5046,0.2684,0.0005,87
ethereum,normal,-0.0486,1903.7257,2.3822,87
solana,normal,1.0479,80.9847,0.0814,87
binancecoin,normal,0.2612,603.701,0.3789,88
bitcoin,normal,-0.3034,65079.5417,47.924,88
cardano,ANOMALIE,3.4502,0.2684,0.0005,88
ethereum,normal,-0.0481,1903.7233,2.3573,88
solana,normal,1.0253,80.9865,0.0815,88
binancecoin,normal,-0.1072,603.7002,0.375,93
bitcoin,normal,-0.8918,65078.6531,47.8303,93
cardano,ANOMALIE,3.423,0.2684,0.0005,93
ethereum,normal,-0.3829,1903.7047,2.3367,93
solana,normal,0.6475,80.9876,0.081,93
binancecoin,normal,-0.1061,603.6994,0.3713,94
bitcoin,normal,-0.8759,65077.8,47.7246,94
cardano,ANOMALIE,3.3986,0.2684,0.0005,94
ethereum,normal,-0.3785,1903.6868,2.3166,94
solana,normal,0.6383,80.9886,0.0805,94
binancecoin,normal,-0.1997,603.7244,0.3225,95
bitcoin,normal,-1.0153,65079.92,43.2573,95
cardano,ANOMALIE,3.4178,0.2684,0.0005,95
ethereum,normal,-0.4659,1903.8,2.1247,95
solana,normal,0.6104,80.9932,0.0767,95
binancecoin,normal,-1.0032,603.7458,0.2649,100
bitcoin,normal,-1.5264,65081.78,38.5099,100
cardano,ANOMALIE,3.4515,0.2685,0.0004,100
ethereum,normal,-1.1127,1903.892,1.925,100
solana,normal,0.5836,80.9978,0.0723,100
binancecoin,normal,-1.1171,603.7552,0.2464,101
bitcoin,normal,-1.5929,65082.4,37.2897,101
cardano,ANOMALIE,3.5344,0.2685,0.0004,101
ethereum,normal,-1.2028,1903.9454,1.8252,101
solana,normal,0.5581,81.0024,0.0674,101
binancecoin,normal,-1.2601,603.7646,0.2259,102
bitcoin,normal,-1.6664,65083.02,36.0175,102
cardano,ANOMALIE,3.6495,0.2685,0.0004,102
ethereum,normal,-1.3089,1903.9988,1.718,102
solana,normal,0.535,81.007,0.0617,102
binancecoin,normal,-1.4492,603.774,0.2029,103
bitcoin,normal,-1.7482,65083.64,34.6876,103
cardano,ANOMALIE,3.8094,0.2686,0.0004,103
ethereum,normal,-1.4372,1904.0522,1.6019,103
solana,normal,0.516,81.0116,0.055,103
binancecoin,normal,-2.3224,603.781,0.1813,104
bitcoin,normal,-2.0828,65084.08,33.6463,104
cardano,ANOMALIE,4.0588,0.2686,0.0003,104
ethereum,normal,-1.8826,1904.0964,1.4907,104
solana,normal,0.5061,81.0162,0.047,104
binancecoin,normal,-2.0219,603.7702,0.188,109
bitcoin,normal,-1.9085,65082.74,34.9707,109
cardano,ANOMALIE,4.3375,0.2686,0.0003,109
ethereum,normal,-1.7296,1904.0556,1.5354,109
solana,normal,0.0276,81.0188,0.0434,109
binancecoin,normal,-1.9087,603.763,0.1954,110
bitcoin,normal,-1.8025,65080.94,36.0274,110
cardano,ANOMALIE,4.4918,0.2686,0.0003,110
ethereum,normal,-1.652,1903.961,1.5503,110
solana,normal,-0.0247,81.021,0.0406,110
binancecoin,normal,-1.8084,603.7558,0.2023,111
bitcoin,normal,-1.708,65079.14,36.9665,111
cardano,ANOMALIE,4.6924,0.2686,0.0003,111
ethereum,normal,-1.5817,1903.8664,1.5593,111
solana,normal,-0.0857,81.0232,0.0373,111
binancecoin,normal,-1.7186,603.7486,0.2087,112
bitcoin,normal,-1.6229,65077.34,37.7966,112
cardano,ANOMALIE,4.959,0.2687,0.0003,112
ethereum,normal,-1.5179,1903.7718,1.5626,112
solana,normal,-0.1604,81.0254,0.0337,112
binancecoin,normal,-2.3003,603.7382,0.2209,113
bitcoin,normal,-1.7608,65075.36,38.8226,113
cardano,ANOMALIE,5.3249,0.2687,0.0002,113
ethereum,normal,-1.831,1903.6646,1.5809,113
solana,normal,-0.5909,81.0274,0.0294,113
binancecoin,normal,-2.5899,603.7114,0.2052,118
bitcoin,normal,-1.5739,65072.36,37.7141,118
cardano,ANOMALIE,5.5915,0.2687,0.0002,118
ethereum,normal,-1.9635,1903.5106,1.4976,118
solana,normal,-1.3724,81.0282,0.0278,118
binancecoin,normal,-2.4161,603.6942,0.2128,119
bitcoin,normal,-1.5016,65070.48,38.2791,119
cardano,ANOMALIE,5.8113,0.2687,0.0002,119
ethereum,normal,-1.8764,1903.4014,1.5089,119
solana,normal,-1.3724,81.0282,0.0278,119
binancecoin,normal,-2.271,603.677,0.2188,120
bitcoin,normal,-1.435,65068.6,38.7448,120
cardano,ANOMALIE,6.0814,0.2687,0.0002,120
ethereum,normal,-1.8,1903.2922,1.5123,120
solana,normal,-1.3724,81.0282,0.0278,120
binancecoin,normal,-2.1478,603.6598,0.2234,121
bitcoin,normal,-1.3734,65066.72,39.1147,121
cardano,ANOMALIE,6.42,0.2687,0.0002,121
ethereum,normal,-1.733,1903.183,1.5078,121
solana,normal,-1.3724,81.0282,0.0278,121
binancecoin,normal,-2.1986,603.6418,0.2282,122
bitcoin,normal,-1.1712,65064.96,39.2423,122
cardano,ANOMALIE,6.8368,0.2687,0.0002,122
ethereum,normal,-1.5937,1903.0764,1.4911,122
solana,normal,-1.3724,81.0282,0.0278,122
binancecoin,normal,-2.2415,603.628,0.24,127
bitcoin,normal,-1.4346,65063.24,39.8987,127
cardano,ANOMALIE,6.8968,0.2687,0.0002,127
ethereum,normal,-1.6474,1902.976,1.4908,127
solana,normal,-0.6445,81.028,0.0279,127
binancecoin,normal,-2.0927,603.6142,0.2505,128
bitcoin,normal,-1.3718,65061.52,40.4713,128
cardano,ANOMALIE,6.9596,0.2687,0.0002,128
ethereum,normal,-1.5875,1902.8756,1.4838,128
solana,normal,-0.6352,81.0278,0.028,128
binancecoin,normal,-1.9645,603.6004,0.2598,129
bitcoin,normal,-1.3134,65059.8,40.9639,129
cardano,ANOMALIE,7.0254,0.2687,0.0002,129
ethereum,normal,-1.5343,1902.7752,1.4699,129
solana,normal,-0.6261,81.0276,0.0281,129
binancecoin,normal,-2.6542,603.5816,0.2794,134
bitcoin,normal,-1.9885,65057.42,42.4538,134
cardano,ANOMALIE,6.9181,0.2687,0.0002,134
ethereum,normal,-2.2064,1902.6516,1.4919,134
solana,normal,-0.2704,81.0276,0.0281,134
binancecoin,normal,-2.447,603.5606,0.2945,135
bitcoin,normal,-1.8736,65055.48,44.0219,135
cardano,ANOMALIE,6.8171,0.2687,0.0002,135
ethereum,normal,-2.0644,1902.5618,1.551,135
solana,normal,-0.2784,81.0278,0.028,135
binancecoin,normal,-2.2758,603.5396,0.3074,136
bitcoin,normal,-1.7719,65053.54,45.4534,136
cardano,ANOMALIE,6.7217,0.2687,0.0002,136
ethereum,normal,-1.9415,1902.472,1.6029,136
solana,normal,-0.2864,81.028,0.0279,136
binancecoin,normal,-2.1312,603.5186,0.3184,137
